ref,Site Address,Proposal,Total units on devt,Ward,Parish,Deed Ref,Deed Type,Date Signed,RSL,Tenure,No of units for this mix type,% AH of total units for permission,Mix type
13-AP-1738,"83-89 QUEENS ROAD AND 2 A-C CARLTON GROVE, LONDON, SE15 2EZ","Demolition of 2 A-C Carlton Grove. Erection of part 4 part 6 storey building, with a detached two/three storey building behind, providing 420sqm of ground floor retail space (Use Class A1) and 47 self contained dwellings. Provision of 5 accessible parking spaces off street, and associated communal amenity space.",47.00,Livesey Ward (B&R + P&N),Peckham and Nunhead,Principal Deed - Part 1,S106 Agreement,14/02/2014,TO BE CONFIRMED,Shared Own,3,6.38,1 Bed
13-AP-1738,"83-89 QUEENS ROAD AND 2 A-C CARLTON GROVE, LONDON, SE15 2EZ","Demolition of 2 A-C Carlton Grove. Erection of part 4 part 6 storey building, with a detached two/three storey building behind, providing 420sqm of ground floor retail space (Use Class A1) and 47 self contained dwellings. Provision of 5 accessible parking spaces off street, and associated communal amenity space.",47.00,Livesey Ward (B&R + P&N),Peckham and Nunhead,Principal Deed - Part 2,S106 Agreement,14/02/2014,TO BE CONFIRMED,Shared Own,3,6.38,1 Bed
13-AP-1738,"83-89 QUEENS ROAD AND 2 A-C CARLTON GROVE, LONDON, SE15 2EZ","Demolition of 2 A-C Carlton Grove. Erection of part 4 part 6 storey building, with a detached two/three storey building behind, providing 420sqm of ground floor retail space (Use Class A1) and 47 self contained dwellings. Provision of 5 accessible parking spaces off street, and associated communal amenity space.",47.00,Livesey Ward (B&R + P&N),Peckham and Nunhead,Principal Deed - Part 1,S106 Agreement,14/02/2014,TO BE CONFIRMED,Shared Own,2,4.26,1 bed wch/acc
13-AP-1738,"83-89 QUEENS ROAD AND 2 A-C CARLTON GROVE, LONDON, SE15 2EZ","Demolition of 2 A-C Carlton Grove. Erection of part 4 part 6 storey building, with a detached two/three storey building behind, providing 420sqm of ground floor retail space (Use Class A1) and 47 self contained dwellings. Provision of 5 accessible parking spaces off street, and associated communal amenity space.",47.00,Livesey Ward (B&R + P&N),Peckham and Nunhead,Principal Deed - Part 2,S106 Agreement,14/02/2014,TO BE CONFIRMED,Shared Own,2,4.26,1 bed wch/acc
13-AP-1738,"83-89 QUEENS ROAD AND 2 A-C CARLTON GROVE, LONDON, SE15 2EZ","Demolition of 2 A-C Carlton Grove. Erection of part 4 part 6 storey building, with a detached two/three storey building behind, providing 420sqm of ground floor retail space (Use Class A1) and 47 self contained dwellings. Provision of 5 accessible parking spaces off street, and associated communal amenity space.",47.00,Livesey Ward (B&R + P&N),Peckham and Nunhead,Principal Deed - Part 1,S106 Agreement,14/02/2014,TO BE CONFIRMED,Social Rent,1,2.13,1 bed wch/acc
13-AP-1738,"83-89 QUEENS ROAD AND 2 A-C CARLTON GROVE, LONDON, SE15 2EZ","Demolition of 2 A-C Carlton Grove. Erection of part 4 part 6 storey building, with a detached two/three storey building behind, providing 420sqm of ground floor retail space (Use Class A1) and 47 self contained dwellings. Provision of 5 accessible parking spaces off street, and associated communal amenity space.",47.00,Livesey Ward (B&R + P&N),Peckham and Nunhead,Principal Deed - Part 2,S106 Agreement,14/02/2014,TO BE CONFIRMED,Social Rent,1,2.13,1 bed wch/acc
13-AP-1738,"83-89 QUEENS ROAD AND 2 A-C CARLTON GROVE, LONDON, SE15 2EZ","Demolition of 2 A-C Carlton Grove. Erection of part 4 part 6 storey building, with a detached two/three storey building behind, providing 420sqm of ground floor retail space (Use Class A1) and 47 self contained dwellings. Provision of 5 accessible parking spaces off street, and associated communal amenity space.",47.00,Livesey Ward (B&R + P&N),Peckham and Nunhead,Principal Deed - Part 1,S106 Agreement,14/02/2014,TO BE CONFIRMED,Social Rent,2,4.26,2 Bed
13-AP-1738,"83-89 QUEENS ROAD AND 2 A-C CARLTON GROVE, LONDON, SE15 2EZ","Demolition of 2 A-C Carlton Grove. Erection of part 4 part 6 storey building, with a detached two/three storey building behind, providing 420sqm of ground floor retail space (Use Class A1) and 47 self contained dwellings. Provision of 5 accessible parking spaces off street, and associated communal amenity space.",47.00,Livesey Ward (B&R + P&N),Peckham and Nunhead,Principal Deed - Part 2,S106 Agreement,14/02/2014,TO BE CONFIRMED,Social Rent,2,4.26,2 Bed
13-AP-1738,"83-89 QUEENS ROAD AND 2 A-C CARLTON GROVE, LONDON, SE15 2EZ","Demolition of 2 A-C Carlton Grove. Erection of part 4 part 6 storey building, with a detached two/three storey building behind, providing 420sqm of ground floor retail space (Use Class A1) and 47 self contained dwellings. Provision of 5 accessible parking spaces off street, and associated communal amenity space.",47.00,Livesey Ward (B&R + P&N),Peckham and Nunhead,Principal Deed - Part 1,S106 Agreement,14/02/2014,TO BE CONFIRMED,Social Rent,1,2.13,2 bed wch/acc
13-AP-1738,"83-89 QUEENS ROAD AND 2 A-C CARLTON GROVE, LONDON, SE15 2EZ","Demolition of 2 A-C Carlton Grove. Erection of part 4 part 6 storey building, with a detached two/three storey building behind, providing 420sqm of ground floor retail space (Use Class A1) and 47 self contained dwellings. Provision of 5 accessible parking spaces off street, and associated communal amenity space.",47.00,Livesey Ward (B&R + P&N),Peckham and Nunhead,Principal Deed - Part 2,S106 Agreement,14/02/2014,TO BE CONFIRMED,Social Rent,1,2.13,2 bed wch/acc
13-AP-1738,"83-89 QUEENS ROAD AND 2 A-C CARLTON GROVE, LONDON, SE15 2EZ","Demolition of 2 A-C Carlton Grove. Erection of part 4 part 6 storey building, with a detached two/three storey building behind, providing 420sqm of ground floor retail space (Use Class A1) and 47 self contained dwellings. Provision of 5 accessible parking spaces off street, and associated communal amenity space.",47.00,Livesey Ward (B&R + P&N),Peckham and Nunhead,Principal Deed - Part 1,S106 Agreement,14/02/2014,TO BE CONFIRMED,Shared Own,3,6.38,3 Bed
13-AP-1738,"83-89 QUEENS ROAD AND 2 A-C CARLTON GROVE, LONDON, SE15 2EZ","Demolition of 2 A-C Carlton Grove. Erection of part 4 part 6 storey building, with a detached two/three storey building behind, providing 420sqm of ground floor retail space (Use Class A1) and 47 self contained dwellings. Provision of 5 accessible parking spaces off street, and associated communal amenity space.",47.00,Livesey Ward (B&R + P&N),Peckham and Nunhead,Principal Deed - Part 2,S106 Agreement,14/02/2014,TO BE CONFIRMED,Shared Own,3,6.38,3 Bed
13-AP-1864,525-539 OLD KENT ROAD LONDON SE1,"Erection of a part five, part six storey building to provide 38 flats (4 x one bedroom, 26 x two bedroom and 8 x three bedroom), with parking and amenity spaces and associated cycle and refuse store.",38.00,South Bermondsey Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,27/03/2014,TO BE CONFIRMED,Social Rent,1,2.63,1 Bed
13-AP-1864,525-539 OLD KENT ROAD LONDON SE1,"Erection of a part five, part six storey building to provide 38 flats (4 x one bedroom, 26 x two bedroom and 8 x three bedroom), with parking and amenity spaces and associated cycle and refuse store.",38.00,South Bermondsey Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,27/03/2014,TO BE CONFIRMED,Shared Own,4,10.53,2 Bed
13-AP-1864,525-539 OLD KENT ROAD LONDON SE1,"Erection of a part five, part six storey building to provide 38 flats (4 x one bedroom, 26 x two bedroom and 8 x three bedroom), with parking and amenity spaces and associated cycle and refuse store.",38.00,South Bermondsey Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,27/03/2014,TO BE CONFIRMED,Social Rent,2,5.26,2 Bed
13-AP-1864,525-539 OLD KENT ROAD LONDON SE1,"Erection of a part five, part six storey building to provide 38 flats (4 x one bedroom, 26 x two bedroom and 8 x three bedroom), with parking and amenity spaces and associated cycle and refuse store.",38.00,South Bermondsey Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,27/03/2014,TO BE CONFIRMED,Shared Own,1,2.63,2 bed wch/acc
13-AP-1864,525-539 OLD KENT ROAD LONDON SE1,"Erection of a part five, part six storey building to provide 38 flats (4 x one bedroom, 26 x two bedroom and 8 x three bedroom), with parking and amenity spaces and associated cycle and refuse store.",38.00,South Bermondsey Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,27/03/2014,TO BE CONFIRMED,Shared Own,1,2.63,2 bed wch/acc
13-AP-1864,525-539 OLD KENT ROAD LONDON SE1,"Erection of a part five, part six storey building to provide 38 flats (4 x one bedroom, 26 x two bedroom and 8 x three bedroom), with parking and amenity spaces and associated cycle and refuse store.",38.00,South Bermondsey Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,27/03/2014,TO BE CONFIRMED,Social Rent,2,5.26,2 bed wch/acc
13-AP-1864,525-539 OLD KENT ROAD LONDON SE1,"Erection of a part five, part six storey building to provide 38 flats (4 x one bedroom, 26 x two bedroom and 8 x three bedroom), with parking and amenity spaces and associated cycle and refuse store.",38.00,South Bermondsey Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,27/03/2014,TO BE CONFIRMED,Shared Own,1,2.63,3 Bed
13-AP-1864,525-539 OLD KENT ROAD LONDON SE1,"Erection of a part five, part six storey building to provide 38 flats (4 x one bedroom, 26 x two bedroom and 8 x three bedroom), with parking and amenity spaces and associated cycle and refuse store.",38.00,South Bermondsey Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,27/03/2014,TO BE CONFIRMED,Social Rent,1,2.63,3 Bed
13-AP-2211,"LAND KNOWN AS 90 - 108 (EVEN NUMBERS) AND 108a WARNER ROAD and 69-73 (ODD NUMBERS) AND 91 CAMBERWELL STATION ROAD, LONDON SES 9JZ",,83.00,,,Principal Deed (Replacement Agreement),S106 Agreement,09/04/2014,Wandle Housing Association,Aff Rent,4,4.82,1 Bed
13-AP-2211,"LAND KNOWN AS 90 - 108 (EVEN NUMBERS) AND 108a WARNER ROAD and 69-73 (ODD NUMBERS) AND 91 CAMBERWELL STATION ROAD, LONDON SES 9JZ",,83.00,,,Principal Deed (Replacement Agreement),S106 Agreement,09/04/2014,Wandle Housing Association,Shared Own,3,3.61,1 Bed
13-AP-2211,"LAND KNOWN AS 90 - 108 (EVEN NUMBERS) AND 108a WARNER ROAD and 69-73 (ODD NUMBERS) AND 91 CAMBERWELL STATION ROAD, LONDON SES 9JZ",,83.00,,,Principal Deed (Replacement Agreement),S106 Agreement,09/04/2014,Wandle Housing Association,Social Rent,3,3.61,1 Bed
13-AP-2211,"LAND KNOWN AS 90 - 108 (EVEN NUMBERS) AND 108a WARNER ROAD and 69-73 (ODD NUMBERS) AND 91 CAMBERWELL STATION ROAD, LONDON SES 9JZ",,83.00,,,Principal Deed (Replacement Agreement),S106 Agreement,09/04/2014,Wandle Housing Association,Aff Rent,5,6.02,2 Bed
13-AP-2211,"LAND KNOWN AS 90 - 108 (EVEN NUMBERS) AND 108a WARNER ROAD and 69-73 (ODD NUMBERS) AND 91 CAMBERWELL STATION ROAD, LONDON SES 9JZ",,83.00,,,Principal Deed (Replacement Agreement),S106 Agreement,09/04/2014,Wandle Housing Association,Shared Own,5,6.02,2 Bed
13-AP-2211,"LAND KNOWN AS 90 - 108 (EVEN NUMBERS) AND 108a WARNER ROAD and 69-73 (ODD NUMBERS) AND 91 CAMBERWELL STATION ROAD, LONDON SES 9JZ",,83.00,,,Principal Deed (Replacement Agreement),S106 Agreement,09/04/2014,Wandle Housing Association,Social Rent,6,7.23,2 Bed
13-AP-2211,"LAND KNOWN AS 90 - 108 (EVEN NUMBERS) AND 108a WARNER ROAD and 69-73 (ODD NUMBERS) AND 91 CAMBERWELL STATION ROAD, LONDON SES 9JZ",,83.00,,,Principal Deed (Replacement Agreement),S106 Agreement,09/04/2014,Wandle Housing Association,Social Rent,3,3.61,2 bed wch/acc
13-AP-2211,"LAND KNOWN AS 90 - 108 (EVEN NUMBERS) AND 108a WARNER ROAD and 69-73 (ODD NUMBERS) AND 91 CAMBERWELL STATION ROAD, LONDON SES 9JZ",,83.00,,,Principal Deed (Replacement Agreement),S106 Agreement,09/04/2014,Wandle Housing Association,Social Rent,5,6.02,3 Bed
13-AP-2211,"LAND KNOWN AS 90 - 108 (EVEN NUMBERS) AND 108a WARNER ROAD and 69-73 (ODD NUMBERS) AND 91 CAMBERWELL STATION ROAD, LONDON SES 9JZ",,83.00,,,Principal Deed (Replacement Agreement),S106 Agreement,09/04/2014,Wandle Housing Association,Social Rent,4,4.82,3 bed wch/acc
13-AP-2782,"8-24 SYLVAN GROVE, LONDON, SE15 1PE","Demolition of existing building on site and the construction of a part five, part six and part eight storey building comprising 1046sqm of commercial space at ground floor level and 73 residential units above (20 X 1 bed, 25 X 2 bed, 28 X 3 bed)  with associated car parking, plant, refuse facilities and landscaped amenity deck.",73.00,Livesey Ward (B&R + P&N),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,07/02/2014,TO BE CONFIRMED,Aff Rent,1,1.37,1 bed wch/acc
13-AP-2782,"8-24 SYLVAN GROVE, LONDON, SE15 1PE","Demolition of existing building on site and the construction of a part five, part six and part eight storey building comprising 1046sqm of commercial space at ground floor level and 73 residential units above (20 X 1 bed, 25 X 2 bed, 28 X 3 bed)  with associated car parking, plant, refuse facilities and landscaped amenity deck.",73.00,Livesey Ward (B&R + P&N),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,07/02/2014,TO BE CONFIRMED,Shared Own,1,1.37,1 bed wch/acc
13-AP-2782,"8-24 SYLVAN GROVE, LONDON, SE15 1PE","Demolition of existing building on site and the construction of a part five, part six and part eight storey building comprising 1046sqm of commercial space at ground floor level and 73 residential units above (20 X 1 bed, 25 X 2 bed, 28 X 3 bed)  with associated car parking, plant, refuse facilities and landscaped amenity deck.",73.00,Livesey Ward (B&R + P&N),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,07/02/2014,TO BE CONFIRMED,Aff Rent,18,24.66,2 Bed
13-AP-2782,"8-24 SYLVAN GROVE, LONDON, SE15 1PE","Demolition of existing building on site and the construction of a part five, part six and part eight storey building comprising 1046sqm of commercial space at ground floor level and 73 residential units above (20 X 1 bed, 25 X 2 bed, 28 X 3 bed)  with associated car parking, plant, refuse facilities and landscaped amenity deck.",73.00,Livesey Ward (B&R + P&N),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,07/02/2014,TO BE CONFIRMED,Aff Rent,2,2.74,2 bed wch/acc
13-AP-2782,"8-24 SYLVAN GROVE, LONDON, SE15 1PE","Demolition of existing building on site and the construction of a part five, part six and part eight storey building comprising 1046sqm of commercial space at ground floor level and 73 residential units above (20 X 1 bed, 25 X 2 bed, 28 X 3 bed)  with associated car parking, plant, refuse facilities and landscaped amenity deck.",73.00,Livesey Ward (B&R + P&N),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,07/02/2014,TO BE CONFIRMED,Aff Rent,8,10.96,3 Bed
13-AP-2782,"8-24 SYLVAN GROVE, LONDON, SE15 1PE","Demolition of existing building on site and the construction of a part five, part six and part eight storey building comprising 1046sqm of commercial space at ground floor level and 73 residential units above (20 X 1 bed, 25 X 2 bed, 28 X 3 bed)  with associated car parking, plant, refuse facilities and landscaped amenity deck.",73.00,Livesey Ward (B&R + P&N),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,07/02/2014,TO BE CONFIRMED,Aff Rent,2,2.74,3 bed wch/acc
13-AP-2782,"8-24 SYLVAN GROVE, LONDON, SE15 1PE","Demolition of existing building on site and the construction of a part five, part six and part eight storey building comprising 1046sqm of commercial space at ground floor level and 73 residential units above (20 X 1 bed, 25 X 2 bed, 28 X 3 bed)  with associated car parking, plant, refuse facilities and landscaped amenity deck.",73.00,Livesey Ward (B&R + P&N),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,07/02/2014,TO BE CONFIRMED,Shared Own,15,20.55,Not known
13-AP-3059,"6-14 MELIOR STREET AND LAND ADJOINING TO THE REAR OF  OUR LADY OF LA SALLETE AND SAINT JOESPH CATHOLIC CHURCH , LONDON, SE1 3QP","Part demolition and part refurbishment / change of use of existing buildings and erection of new buildings ranging from 4-7 storeys in height to provide 37 residential units (Class C3); a community centre (Class D1) and flexible commercial space at ground floor level (Class A1/A3/B1); cycle storage, new landscaping and associated works.",37.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,02/05/2014,TO BE CONFIRMED,Aff Rent,4,10.81,1 Bed
13-AP-3059,"6-14 MELIOR STREET AND LAND ADJOINING TO THE REAR OF  OUR LADY OF LA SALLETE AND SAINT JOESPH CATHOLIC CHURCH , LONDON, SE1 3QP","Part demolition and part refurbishment / change of use of existing buildings and erection of new buildings ranging from 4-7 storeys in height to provide 37 residential units (Class C3); a community centre (Class D1) and flexible commercial space at ground floor level (Class A1/A3/B1); cycle storage, new landscaping and associated works.",37.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,02/05/2014,TO BE CONFIRMED,Aff Rent,1,2.70,2 Bed
13-AP-3059,"6-14 MELIOR STREET AND LAND ADJOINING TO THE REAR OF  OUR LADY OF LA SALLETE AND SAINT JOESPH CATHOLIC CHURCH , LONDON, SE1 3QP","Part demolition and part refurbishment / change of use of existing buildings and erection of new buildings ranging from 4-7 storeys in height to provide 37 residential units (Class C3); a community centre (Class D1) and flexible commercial space at ground floor level (Class A1/A3/B1); cycle storage, new landscaping and associated works.",37.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,02/05/2014,TO BE CONFIRMED,Social Rent,4,10.81,3 Bed
13-AP-3450,"5-9 ROCKINGHAM STREET, LONDON, SE1 6PD","Demolition of existing buildings and redevelopment of site to provide a 13 storey building with 30 residential units (comprising 9 x 1 bed, 17 x 2 bed and 4 x 3 bed units) and 373m2 restaurant (A3 use) at part basement/part ground floor level and mezzanine storage with the provision of 2 disabled car parking spaces and associated refuse and cycle storage",30.00,Chaucer Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,13/10/2014,TO BE CONFIRMED,Shared Own,3,10.00,1 Bed
13-AP-3450,"5-9 ROCKINGHAM STREET, LONDON, SE1 6PD","Demolition of existing buildings and redevelopment of site to provide a 13 storey building with 30 residential units (comprising 9 x 1 bed, 17 x 2 bed and 4 x 3 bed units) and 373m2 restaurant (A3 use) at part basement/part ground floor level and mezzanine storage with the provision of 2 disabled car parking spaces and associated refuse and cycle storage",30.00,Chaucer Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,13/10/2014,TO BE CONFIRMED,Shared Own,3,10.00,2 Bed
13-AP-3450,"5-9 ROCKINGHAM STREET, LONDON, SE1 6PD","Demolition of existing buildings and redevelopment of site to provide a 13 storey building with 30 residential units (comprising 9 x 1 bed, 17 x 2 bed and 4 x 3 bed units) and 373m2 restaurant (A3 use) at part basement/part ground floor level and mezzanine storage with the provision of 2 disabled car parking spaces and associated refuse and cycle storage",30.00,Chaucer Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,13/10/2014,TO BE CONFIRMED,Social Rent,2,6.67,2 Bed
13-AP-3450,"5-9 ROCKINGHAM STREET, LONDON, SE1 6PD","Demolition of existing buildings and redevelopment of site to provide a 13 storey building with 30 residential units (comprising 9 x 1 bed, 17 x 2 bed and 4 x 3 bed units) and 373m2 restaurant (A3 use) at part basement/part ground floor level and mezzanine storage with the provision of 2 disabled car parking spaces and associated refuse and cycle storage",30.00,Chaucer Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,13/10/2014,TO BE CONFIRMED,Social Rent,2,6.67,3 bed wch/acc
13-AP-3791,"1, 3-5. 7-19 VALENTINE PLACE AND 21, 27-31 WEBBER STREET, LONDON, SE1 8QH","Demolition of 1, 3-5 Valentine Place and 27-31 Webber Street and part demolition of 7-19 Valentine Place and 21 Webber Street (facades retained). Redevelopment of the site to provide 62 residential units (max 7 storeys), 3854sqm Class B1 (business) and 138sqm A1/A3 (retail and food and drink) floorspace, together with landscaping and car parking.",62.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,25/09/2014,TO BE CONFIRMED,Aff Rent,6,9.68,1 Bed
13-AP-3791,"1, 3-5. 7-19 VALENTINE PLACE AND 21, 27-31 WEBBER STREET, LONDON, SE1 8QH","Demolition of 1, 3-5 Valentine Place and 27-31 Webber Street and part demolition of 7-19 Valentine Place and 21 Webber Street (facades retained). Redevelopment of the site to provide 62 residential units (max 7 storeys), 3854sqm Class B1 (business) and 138sqm A1/A3 (retail and food and drink) floorspace, together with landscaping and car parking.",62.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,25/09/2014,TO BE CONFIRMED,Shared Own,2,3.23,1 Bed
13-AP-3791,"1, 3-5. 7-19 VALENTINE PLACE AND 21, 27-31 WEBBER STREET, LONDON, SE1 8QH","Demolition of 1, 3-5 Valentine Place and 27-31 Webber Street and part demolition of 7-19 Valentine Place and 21 Webber Street (facades retained). Redevelopment of the site to provide 62 residential units (max 7 storeys), 3854sqm Class B1 (business) and 138sqm A1/A3 (retail and food and drink) floorspace, together with landscaping and car parking.",62.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,25/09/2014,TO BE CONFIRMED,Aff Rent,6,9.68,2 Bed
13-AP-3791,"1, 3-5. 7-19 VALENTINE PLACE AND 21, 27-31 WEBBER STREET, LONDON, SE1 8QH","Demolition of 1, 3-5 Valentine Place and 27-31 Webber Street and part demolition of 7-19 Valentine Place and 21 Webber Street (facades retained). Redevelopment of the site to provide 62 residential units (max 7 storeys), 3854sqm Class B1 (business) and 138sqm A1/A3 (retail and food and drink) floorspace, together with landscaping and car parking.",62.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,25/09/2014,TO BE CONFIRMED,Shared Own,4,6.45,2 Bed
13-AP-3791,"1, 3-5. 7-19 VALENTINE PLACE AND 21, 27-31 WEBBER STREET, LONDON, SE1 8QH","Demolition of 1, 3-5 Valentine Place and 27-31 Webber Street and part demolition of 7-19 Valentine Place and 21 Webber Street (facades retained). Redevelopment of the site to provide 62 residential units (max 7 storeys), 3854sqm Class B1 (business) and 138sqm A1/A3 (retail and food and drink) floorspace, together with landscaping and car parking.",62.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,25/09/2014,TO BE CONFIRMED,Aff Rent,1,1.61,3 Bed
14-AP-0764,184-188 SOUTHAMPTON WAY & 5A HAVIL STREET SE5,"Erection two new buildings, the first fronting on Havil Street being up to five storeys in height, with the second fronting onto Southampton Way and being up to four storeys in height together comprising 24 residential units (10 x 1 bed, 11 x 2 bed and 3 x 3 bed) with associated balconies and terraces, wider landscaping and cycle / refuse stores",41.00,Brunswick Park Ward (Camberwell),Camberwell,Principal Deed,S106 Agreement,31/10/2014,TO BE CONFIRMED,Aff Rent,3,7.32,1 Bed
14-AP-0764,184-188 SOUTHAMPTON WAY & 5A HAVIL STREET SE5,"Erection two new buildings, the first fronting on Havil Street being up to five storeys in height, with the second fronting onto Southampton Way and being up to four storeys in height together comprising 24 residential units (10 x 1 bed, 11 x 2 bed and 3 x 3 bed) with associated balconies and terraces, wider landscaping and cycle / refuse stores",41.00,Brunswick Park Ward (Camberwell),Camberwell,Principal Deed,S106 Agreement,31/10/2014,TO BE CONFIRMED,Shared Own,5,12.20,1 Bed
14-AP-0764,184-188 SOUTHAMPTON WAY & 5A HAVIL STREET SE5,"Erection two new buildings, the first fronting on Havil Street being up to five storeys in height, with the second fronting onto Southampton Way and being up to four storeys in height together comprising 24 residential units (10 x 1 bed, 11 x 2 bed and 3 x 3 bed) with associated balconies and terraces, wider landscaping and cycle / refuse stores",41.00,Brunswick Park Ward (Camberwell),Camberwell,Principal Deed,S106 Agreement,31/10/2014,TO BE CONFIRMED,Aff Rent,1,2.44,1 bed wch/acc
14-AP-0764,184-188 SOUTHAMPTON WAY & 5A HAVIL STREET SE5,"Erection two new buildings, the first fronting on Havil Street being up to five storeys in height, with the second fronting onto Southampton Way and being up to four storeys in height together comprising 24 residential units (10 x 1 bed, 11 x 2 bed and 3 x 3 bed) with associated balconies and terraces, wider landscaping and cycle / refuse stores",41.00,Brunswick Park Ward (Camberwell),Camberwell,Principal Deed,S106 Agreement,31/10/2014,TO BE CONFIRMED,Shared Own,1,2.44,1 bed wch/acc
14-AP-0764,184-188 SOUTHAMPTON WAY & 5A HAVIL STREET SE5,"Erection two new buildings, the first fronting on Havil Street being up to five storeys in height, with the second fronting onto Southampton Way and being up to four storeys in height together comprising 24 residential units (10 x 1 bed, 11 x 2 bed and 3 x 3 bed) with associated balconies and terraces, wider landscaping and cycle / refuse stores",41.00,Brunswick Park Ward (Camberwell),Camberwell,Principal Deed,S106 Agreement,31/10/2014,TO BE CONFIRMED,Aff Rent,3,7.32,2 Bed
14-AP-0764,184-188 SOUTHAMPTON WAY & 5A HAVIL STREET SE5,"Erection two new buildings, the first fronting on Havil Street being up to five storeys in height, with the second fronting onto Southampton Way and being up to four storeys in height together comprising 24 residential units (10 x 1 bed, 11 x 2 bed and 3 x 3 bed) with associated balconies and terraces, wider landscaping and cycle / refuse stores",41.00,Brunswick Park Ward (Camberwell),Camberwell,Principal Deed,S106 Agreement,31/10/2014,TO BE CONFIRMED,Shared Own,5,12.20,2 Bed
14-AP-0764,184-188 SOUTHAMPTON WAY & 5A HAVIL STREET SE5,"Erection two new buildings, the first fronting on Havil Street being up to five storeys in height, with the second fronting onto Southampton Way and being up to four storeys in height together comprising 24 residential units (10 x 1 bed, 11 x 2 bed and 3 x 3 bed) with associated balconies and terraces, wider landscaping and cycle / refuse stores",41.00,Brunswick Park Ward (Camberwell),Camberwell,Principal Deed,S106 Agreement,31/10/2014,TO BE CONFIRMED,Aff Rent,1,2.44,2 bed wch/acc
14-AP-0764,184-188 SOUTHAMPTON WAY & 5A HAVIL STREET SE5,"Erection two new buildings, the first fronting on Havil Street being up to five storeys in height, with the second fronting onto Southampton Way and being up to four storeys in height together comprising 24 residential units (10 x 1 bed, 11 x 2 bed and 3 x 3 bed) with associated balconies and terraces, wider landscaping and cycle / refuse stores",41.00,Brunswick Park Ward (Camberwell),Camberwell,Principal Deed,S106 Agreement,31/10/2014,TO BE CONFIRMED,Shared Own,1,2.44,2 bed wch/acc
14-AP-0764,184-188 SOUTHAMPTON WAY & 5A HAVIL STREET SE5,"Erection two new buildings, the first fronting on Havil Street being up to five storeys in height, with the second fronting onto Southampton Way and being up to four storeys in height together comprising 24 residential units (10 x 1 bed, 11 x 2 bed and 3 x 3 bed) with associated balconies and terraces, wider landscaping and cycle / refuse stores",41.00,Brunswick Park Ward (Camberwell),Camberwell,Principal Deed,S106 Agreement,31/10/2014,TO BE CONFIRMED,Aff Rent,1,2.44,3 Bed
14-AP-0764,184-188 SOUTHAMPTON WAY & 5A HAVIL STREET SE5,"Erection two new buildings, the first fronting on Havil Street being up to five storeys in height, with the second fronting onto Southampton Way and being up to four storeys in height together comprising 24 residential units (10 x 1 bed, 11 x 2 bed and 3 x 3 bed) with associated balconies and terraces, wider landscaping and cycle / refuse stores",41.00,Brunswick Park Ward (Camberwell),Camberwell,Principal Deed,S106 Agreement,31/10/2014,TO BE CONFIRMED,Aff Rent,3,7.32,3 Bed
14-AP-0833,"237 WALWORTH ROAD, LONDON SE17 1RL","Erection of two buildings, one a 5 storey building plus lower ground floor and part basement plant room to provide student accommodation (143 bedspaces) and the other a part 2, part 3, part 4 storey building together with a single storey extension to the flying freehold to provide 4 dwelling houses and 3 dwellings (Class C3), the provision of four disabled car parking spaces, cycle parking and associated landscaping works",7.00,East Walworth Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,16/12/2014,TO BE CONFIRMED,Shared Own,1,14.29,2 Bed
